[06/15/20 04:34:03] Connect Session # IP:127.0.0.1 / SessionID:44 
[06/15/20 04:40:42] Frame : 26  Loop : 23869
[06/15/20 04:41:40] Connect Session # IP:127.0.0.1 / SessionID:45 
[06/15/20 04:41:54] Frame : 26  Loop : 25058
[06/15/20 04:44:26] Frame : 26  Loop : 24713
[06/15/20 04:44:48] Connect Session # IP:127.0.0.1 / SessionID:46 
[06/15/20 04:45:05] Frame : 26  Loop : 24357
[06/15/20 04:46:32] Frame : 26  Loop : 24333
[06/15/20 04:48:03] Connect Session # IP:127.0.0.1 / SessionID:47 
[06/15/20 04:50:55] Frame : 26  Loop : 20904
[06/15/20 17:05:58] Server Open OK # Port:20000
[06/15/20 17:06:06] Frame : 26  Loop : 10713
[06/15/20 17:06:08] Frame : 26  Loop : 12312
[06/15/20 17:06:10] Frame : 26  Loop : 21592
[06/15/20 17:06:13] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 17:06:22] Frame : 26  Loop : 13837
[06/15/20 17:06:24] Frame : 26  Loop : 3323
[06/15/20 17:06:25] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 17:06:43] Connect Session # IP:127.0.0.1 / SessionID:3 
[06/15/20 17:06:46] Frame : 22  Loop : 3982
[06/15/20 17:06:47] Frame : 15  Loop : 15
[06/15/20 17:06:48] Frame : 31  Loop : 31
[06/15/20 17:06:49] Frame : 23  Loop : 23
[06/15/20 17:06:50] Frame : 12  Loop : 12
[06/15/20 17:06:51] Frame : 23  Loop : 23
[06/15/20 17:06:52] Frame : 18  Loop : 18
[06/15/20 17:06:53] Frame : 16  Loop : 16
[06/15/20 17:06:54] Frame : 16  Loop : 16
[06/15/20 17:06:55] Frame : 11  Loop : 11
[06/15/20 17:06:56] Frame : 16  Loop : 16
[06/15/20 17:06:57] Frame : 16  Loop : 16
[06/15/20 17:06:58] Frame : 15  Loop : 15
[06/15/20 17:06:59] Frame : 27  Loop : 27
[06/15/20 17:07:00] Frame : 15  Loop : 15
[06/15/20 17:07:01] Frame : 11  Loop : 11
[06/15/20 17:07:03] Frame : 20  Loop : 20
[06/15/20 17:07:04] Frame : 17  Loop : 17
[06/15/20 17:07:05] Frame : 13  Loop : 13
[06/15/20 17:07:06] Frame : 27  Loop : 27
[06/15/20 17:07:07] Frame : 10  Loop : 10
[06/15/20 17:07:08] Frame : 18  Loop : 18
[06/15/20 17:07:09] Frame : 23  Loop : 23
[06/15/20 17:07:10] Frame : 14  Loop : 14
[06/15/20 17:07:11] Frame : 17  Loop : 17
[06/15/20 17:07:22] Frame : 15  Loop : 15
[06/15/20 17:07:22] Frame : 1  Loop : 1
[06/15/20 17:07:23] Frame : 15  Loop : 15
[06/15/20 17:07:24] Frame : 13  Loop : 13
[06/15/20 17:07:25] Frame : 22  Loop : 22
[06/15/20 17:07:26] Frame : 24  Loop : 24
[06/15/20 17:07:27] Frame : 15  Loop : 15
[06/15/20 17:07:28] Frame : 27  Loop : 27
[06/15/20 17:07:29] Frame : 16  Loop : 16
[06/15/20 17:07:31] Frame : 14  Loop : 14
[06/15/20 17:07:32] Frame : 15  Loop : 15
[06/15/20 17:07:33] Frame : 11  Loop : 11
[06/15/20 17:07:34] Frame : 17  Loop : 17
[06/15/20 17:07:35] Frame : 17  Loop : 17
[06/15/20 17:07:36] Frame : 21  Loop : 21
[06/15/20 17:07:37] Frame : 41  Loop : 41
[06/15/20 17:07:38] Frame : 40  Loop : 40
[06/15/20 17:07:39] Frame : 20  Loop : 20
[06/15/20 17:07:40] Frame : 33  Loop : 33
[06/15/20 17:07:41] Frame : 31  Loop : 31
[06/15/20 17:07:42] Frame : 65  Loop : 65
[06/15/20 17:07:43] Frame : 17  Loop : 17
[06/15/20 17:07:44] Frame : 36  Loop : 36
[06/15/20 17:07:45] Frame : 27  Loop : 27
[06/15/20 17:07:46] Frame : 18  Loop : 18
[06/15/20 17:07:47] Frame : 19  Loop : 19
[06/15/20 17:07:49] Frame : 40  Loop : 40
[06/15/20 17:07:50] Frame : 28  Loop : 28
[06/15/20 17:07:51] Frame : 40  Loop : 40
[06/15/20 17:08:02] Frame : 49  Loop : 49
[06/15/20 17:08:02] Frame : 1  Loop : 1
[06/15/20 17:08:03] Frame : 720  Loop : 13245
[06/15/20 17:08:36] Connect Session # IP:127.0.0.1 / SessionID:4 
